@relation dataset_accelerometer

@attribute id numeric
@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute timestamp numeric
@attribute tag {OTHER,POCKET}

@data
11272,-1.16837,-9.969456,0,382063465305371,OTHER
11273,-1.149217,-9.931149,-0.124498,382063485385546,OTHER
11274,-1.101333,-9.959879,-0.019154,382063505465720,OTHER
11275,-1.043872,-9.950302,-0.114922,382063525545895,OTHER
11276,-1.120486,-9.921572,-0.067038,382063545626070,OTHER
11277,-1.158794,-9.911995,-0.019154,382063565706245,OTHER
11278,-1.130063,-9.959879,-0.143652,382063585786420,OTHER
11279,-1.149217,-9.959879,-0.047884,382063605866594,OTHER
11280,-1.177947,-9.854534,-0.134075,382063625916252,OTHER
11281,-1.197101,-9.911995,-0.047884,382063645996427,OTHER
11282,-1.149217,-9.950302,-0.02873,382063666076602,OTHER
11283,-1.187524,-9.902418,0.019154,382063686156776,OTHER
11284,-1.177947,-9.864111,-0.095768,382063706236952,OTHER
11285,-1.177947,-9.768343,0.038307,382063726317126,OTHER
11286,-1.312023,-9.634268,0,382063746397301,OTHER
11287,-1.388637,-9.548077,-0.124498,382063766477476,OTHER
11288,-1.465251,-9.835381,-0.172383,382063786557650,OTHER
11289,-0.995988,-9.988609,-0.172383,382063806637826,OTHER
11290,-0.651223,-10.036493,-0.114922,382063826687483,OTHER
11291,-0.47884,-10.189722,-0.067038,382063846767658,OTHER
11292,-0.335188,-10.275913,-0.02873,382063866847832,OTHER
11293,-0.287304,-10.237606,-0.009577,382063886928008,OTHER
11294,-0.344765,-10.065224,-0.057461,382063907008182,OTHER
11295,-0.68953,-10.113108,0.114922,382063927088357,OTHER
11296,-0.727837,-10.026917,-0.220267,382063947168532,OTHER
11297,-0.699107,-9.979033,-0.258574,382063967248706,OTHER
11298,-0.622492,-9.950302,-0.02873,382063987298364,OTHER
11299,-0.565032,-9.998186,0.124498,382064007378539,OTHER
11300,-0.632069,-9.998186,-0.057461,382064027458714,OTHER
11301,-0.612916,-10.055647,-0.229843,382064047538888,OTHER
11302,-0.651223,-10.036493,-0.086191,382064067619064,OTHER
11303,-0.746991,-9.979033,-0.067038,382064087699238,OTHER
11304,-0.794875,-10.007763,0.019154,382064107779414,OTHER
11305,-0.727837,-9.988609,0.009577,382064127859588,OTHER
11306,-0.746991,-9.979033,-0.047884,382064147939762,OTHER
11307,-0.670376,-9.998186,-0.086191,382064168019938,OTHER
11308,-0.555455,-10.084377,-0.134075,382064188069596,OTHER
11309,-0.402226,-10.007763,-0.21069,382064208149770,OTHER
11310,-0.45011,-9.950302,-0.201113,382064228229945,OTHER
11311,-0.354342,-10.055647,-0.172383,382064248310120,OTHER
11312,-0.469264,-10.01734,-0.143652,382064268390294,OTHER
11313,-0.517148,-9.931149,-0.201113,382064288470470,OTHER
11314,-0.584185,-9.950302,-0.181959,382064308550644,OTHER
11315,-0.517148,-10.01734,-0.134075,382064328630818,OTHER
11316,-0.497994,-9.969456,-0.162806,382064348710994,OTHER
11317,-0.565032,-10.026917,-0.153229,382064368791168,OTHER
11318,-0.708684,-9.931149,-0.114922,382064388871344,OTHER
11319,-0.775721,-9.883265,-0.124498,382064408951518,OTHER
11320,-0.699107,-9.940725,-0.172383,382064429031692,OTHER
11321,-0.497994,-9.979033,-0.067038,382064449081350,OTHER
11322,-0.488417,-10.065224,-0.172383,382064469161526,OTHER
11323,-0.440533,-10.007763,-0.287304,382064489241700,OTHER
11324,-0.402226,-9.950302,-0.296881,382064509321874,OTHER
11325,-0.497994,-9.950302,-0.229843,382064529402050,OTHER
11326,-0.584185,-9.979033,-0.344765,382064549482224,OTHER
11327,-0.411803,-9.959879,-0.344765,382064569562400,OTHER
11328,-0.45011,-9.969456,-0.229843,382064589642574,OTHER
11329,-0.517148,-9.959879,-0.258574,382064609722749,OTHER
11330,-0.497994,-9.988609,-0.335188,382064629802924,OTHER
11331,-0.335188,-10.055647,-0.354342,382064649883098,OTHER
11332,-0.354342,-10.026917,-0.306458,382064669963273,OTHER
11333,-0.469264,-10.036493,-0.258574,382064690043448,OTHER
11334,-0.517148,-9.959879,-0.23942,382064710123623,OTHER
11335,-0.411803,-9.911995,-0.248997,382064730203798,OTHER
11336,-0.440533,-9.988609,-0.191536,382064750253456,OTHER
11337,-0.42138,-10.036493,-0.21069,382064770333630,OTHER
11338,-0.42138,-10.007763,-0.181959,382064790413805,OTHER
11339,-0.430956,-9.969456,-0.220267,382064810493980,OTHER
11340,-0.402226,-10.04607,-0.191536,382064830574154,OTHER
11341,-0.536301,-9.940725,-0.181959,382064850654330,OTHER
11342,-0.45011,-9.969456,-0.181959,382064870734504,OTHER
11343,-0.383072,-9.940725,-0.220267,382064890814679,OTHER
11344,-0.42138,-9.950302,-0.258574,382064910894854,OTHER
11345,-0.392649,-9.969456,-0.21069,382064930975028,OTHER
11346,-0.517148,-9.998186,-0.191536,382064951055203,OTHER
11347,-0.392649,-10.026917,-0.191536,382064971135378,OTHER
11348,-0.469264,-9.998186,-0.172383,382064991185036,OTHER
11349,-0.555455,-9.969456,-0.067038,382065011265210,OTHER
11350,-0.545878,-9.979033,-0.095768,382065031345386,OTHER
11351,-0.603339,-9.998186,-0.095768,382065051425560,OTHER
