@relation dataset_accelerometer_unlabeled

@attribute ﻿id numeric
@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute timestamp numeric

@data
1641,-0.02873,-0.363919,9.969456,381870078200056
1642,0.02873,-0.344765,9.998186,381870098280231
1643,-0.057461,-0.383072,10.026917,381870118329889
1644,0.047884,-0.306458,10.036493,381870138410064
1645,-0.047884,-0.306458,10.084377,381870158490238
1646,0.019154,-0.229843,10.01734,381870178570413
1647,-0.067038,-0.258574,10.026917,381870198650588
1648,-0.009577,-0.258574,10.036493,381870218730763
1649,-0.02873,-0.296881,10.026917,381870238810938
1650,-0.086191,-0.277727,10.04607,381870258891112
1651,0.02873,-0.306458,9.988609,381870278971287
1652,0,-0.335188,9.988609,381870299051462
1653,-0.067038,-0.306458,10.04607,381870319131636
1654,0.019154,-0.287304,10.026917,381870339211812
1655,-0.009577,-0.316035,10.04607,381870359261469
1656,0.019154,-0.258574,9.959879,381870379341644
1657,0.019154,-0.296881,10.026917,381870399421819
1658,-0.047884,-0.23942,10.007763,381870419501994
1659,-0.02873,-0.316035,10.01734,381870439582168
1660,-0.057461,-0.325611,10.026917,381870459662343
1661,-0.02873,-0.363919,10.026917,381870479742518
1662,-0.02873,-0.335188,10.026917,381870499822693
1663,-0.009577,-0.287304,10.0748,381870519902868
1664,0.019154,-0.277727,10.036493,381870539983042
1665,-0.02873,-0.383072,9.950302,381870560063218
1666,-0.038307,-0.316035,9.998186,381870580143392
1667,-0.038307,-0.335188,9.940725,381870600223566
1668,0.057461,-0.287304,10.228029,381870620303742
1669,0,-0.335188,10.007763,381870640383916
1670,0.067038,-0.296881,9.873688,381870660464092
1671,0.114922,-0.344765,10.055647,381870680544266
1672,0.047884,-0.344765,10.141838,381870700624440
1673,0.009577,-0.287304,10.04607,381870720704616
1674,0.095768,-0.354342,9.969456,381870740784790
1675,0.21069,-0.306458,10.113108,381870760864965
1676,0.057461,-0.612916,10.113108,381870780945140
1677,-0.248997,-1.331176,9.931149,381870801025314
1678,-0.019154,-1.58975,10.25676,381870821074972
1679,-0.229843,-1.149217,10.170568,381870841155148
1680,-0.124498,-0.612916,9.835381,381870861235322
1681,0.057461,-0.124498,9.5385,381870881315496
1682,1.465251,1.16837,15.945383,381870901395672
1683,0.296881,-1.158794,10.409989,381870921475846
1684,-0.105345,-0.957681,10.218452,381870941556022
1685,-0.076614,-1.072602,10.141838,381870961605678
1686,0.708684,-0.651223,10.036493,381870981685854
1687,1.034295,-0.574608,9.873688,381871001766028
1688,0.363919,-0.622492,9.979033,381871021846204
1689,0.383072,-0.871489,10.141838,381871041926378
1690,0.699107,-1.225831,9.950302,381871062006553
1691,1.244985,-1.369483,9.883265,381871082086728
1692,1.254562,-1.426944,10.055647,381871102166902
1693,1.283292,-1.886631,9.950302,381871122247078
1694,0.986411,-2.566584,9.959879,381871142296736
1695,0.641646,-3.150769,10.831368,381871162376910
1696,0.766145,-3.160346,9.691729,381871182457084
1697,0.871489,-2.825158,11.760319,381871202537260
1698,1.101333,-2.719813,12.095507,381871222617434
